CustomerId,FirstName,MiddleName,LastName,Gender,PartyType,DateOfBirth,AccountNumber,PhoneNumber,MobilePhone,HomePhone,BusinessPhone,Email,BusinessEmail,PersonalEmail,StreetAddress,Apartment,Country,PostalCode,State,City,AdditionalInfo
CUS001,Ly,Hoang,Viet,Female,Other,2002-09-12,,+84396840282,+84396840282,,,,hviet519@gmail.com,hviet519@gmail.com,hviet519@gmail.com,Bien Hoa,Nhon Trach,Vietnam,810000,Dong Nai,Bien Hoa,"VIP Customer"
CUS002,Nguyen,Van,An,Male,Business,1990-05-15,ACC123,+84987654321,+84987654321,,,,vanan@gmail.com,vanan@gmail.com,vanan@gmail.com,Ho Chi Minh,Quan 1,Vietnam,700000,Ho Chi Minh,Ho Chi Minh,"Regular Customer"
CUS003,Tran,Thi,Bich,Female,Individual,1985-11-20,,+84123456789,+84123456789,,,,bichtran@gmail.com,bichtran@gmail.com,bichtran@gmail.com,Ha Noi,Cau Giay,Vietnam,100000,Ha Noi,Ha Noi,"Potential Lead"
CUS004,Le,Quang,Minh,Male,Other,1995-03-30,ACC456,+84567890123,+84567890123,,,,minhle@gmail.com,minhle@gmail.com,minhle@gmail.com,Da Nang,Hai Chau,Vietnam,550000,Da Nang,Da Nang,"High Value"
CUS005,Pham,Thi,Hong,Female,Business,1988-07-10,ACC789,+84234567890,+84234567890,,,,hongnguyen@gmail.com,hongnguyen@gmail.com,hongnguyen@gmail.com,Can Tho,Ninh Kieu,Vietnam,900000,Can Tho,Can Tho,"Enterprise Client"
CUS006,Vo,Van,Tam,Male,Individual,1992-12-05,,+84345678901,+84345678901,,,,tamvo@gmail.com,tamvo@gmail.com,tamvo@gmail.com,Bien Hoa,Dong Nai,Vietnam,810000,Dong Nai,Bien Hoa,"Loyal Customer"
CUS007,Huynh,Ngoc,Mai,Female,Other,1998-01-25,ACC012,+84456789012,+84456789012,,,,maihuyen@gmail.com,maihuyen@gmail.com,maihuyen@gmail.com,Vung Tau,Ba Ria,Vietnam,780000,Ba Ria-Vung Tau,Vung Tau,"New Customer"
CUS008,Dang,Quoc,Khanh,Male,Business,1987-08-18,ACC345,+84678901234,+84678901234,,,,khanhdang@gmail.com,khanhdang@gmail.com,khanhdang@gmail.com,Nha Trang,Khanh Hoa,Vietnam,650000,Khanh Hoa,Nha Trang,"Premium"
CUS009,Bui,Thi,Loan,Female,Individual,1993-06-30,,+84789012345,+84789012345,,,,loanbui@gmail.com,loanbui@gmail.com,loanbui@gmail.com,Buon Ma Thuot,Dak Lak,Vietnam,630000,Dak Lak,Buon Ma Thuot,"Startup"
CUS010,Tran,Van,Duc,Male,Other,1996-04-12,ACC678,+84890123456,+84890123456,,,,ductran@gmail.com,ductran@gmail.com,ductran@gmail.com,Quy Nhon,Binh Dinh,Vietnam,820000,Binh Dinh,Quy Nhon,"Emerging Market"
